context,split_seed,n_acquisition_batches,n_subsets,mean_median_gene_pearson,min_median_gene_pearson,max_median_gene_pearson,mean_median_program_pearson,min_median_program_pearson,max_median_program_pearson
zic008_aec7,20260923,8,1,0.6953134198426418,0.6953134198426418,0.6953134198426418,0.9572225866857995,0.9572225866857995,0.9572225866857995
zic008_aec7,20260924,1,8,0.42525062007087633,0.24091560709833382,0.4857330748034329,0.8057125530256674,0.5767119261325971,0.8995862316389507
zic008_aec7,20260924,2,28,0.522235872721481,0.36562716952496205,0.5964576688278517,0.8743884013491356,0.7683646362641109,0.9436963085931865
zic008_aec7,20260924,3,56,0.5760709685005464,0.4601765577429929,0.6500292263685373,0.9031893561024741,0.826916602642282,0.9463494470962771
zic008_aec7,20260924,4,70,0.6122714105498406,0.5265873133716527,0.6853923690337136,0.9194279256343988,0.8675534945323743,0.9448270043245718
zic008_aec7,20260924,5,56,0.6392955724377651,0.5917881918214594,0.6932852212625724,0.9292491818132497,0.8974975822938097,0.9513788994087077
zic008_aec7,20260924,6,28,0.6574016336533978,0.6336846262125264,0.6945222519395222,0.9350899144840968,0.9218553345597061,0.9467098491608131
zic008_aec7,20260924,7,8,0.6719299627765338,0.6603405910416786,0.6880643914788728,0.938583661010987,0.9326431344700534,0.9471524532195139
zic008_aec7,20260924,8,1,0.6847821918200555,0.6847821918200555,0.6847821918200555,0.9425710113991441,0.9425710113991441,0.9425710113991441
zic008_aec7,20260925,1,8,0.4134009865921588,0.1799117237353061,0.49337701881447527,0.7955624002204504,0.6158107849110593,0.8658381879130259
zic008_aec7,20260925,2,28,0.5027833033060297,0.3190038905448616,0.6019805128264064,0.859484490126344,0.7501774054800752,0.9390828798341037
zic008_aec7,20260925,3,56,0.558706479112263,0.40429242050522446,0.6686865146025579,0.8953318208684002,0.829883694700847,0.9505736108977532
zic008_aec7,20260925,4,70,0.594118500435591,0.485115730573185,0.693854452767575,0.913725195318687,0.865149333539372,0.9477918455621279
zic008_aec7,20260925,5,56,0.6222809534739779,0.5373901769540019,0.7084647637596333,0.9277458645303723,0.890883015692879,0.9514196436248704
zic008_aec7,20260925,6,28,0.6485469488569295,0.5996421171881755,0.7212667553796336,0.9367614836821513,0.9097041144824026,0.9552311387615413
zic008_aec7,20260925,7,8,0.6708984786938776,0.6526232960111827,0.7069908514845726,0.9426783817441369,0.9276220521303642,0.9529474100151227
zic008_aec7,20260925,8,1,0.6882073010486977,0.6882073010486977,0.6882073010486977,0.9449767183922334,0.9449767183922334,0.9449767183922334
zic008_aec7,20260926,1,8,0.42780551614677065,0.2768682878489121,0.4761258484962673,0.8008576377917123,0.5685619460345324,0.8872592921421103
zic008_aec7,20260926,2,28,0.52196241540682,0.3973183044654701,0.6021354888669961,0.874237911877142,0.7594007067810576,0.9321837243774928
zic008_aec7,20260926,3,56,0.5838859890789484,0.4907679009545578,0.6537419815197127,0.9110646447536254,0.8357914292581109,0.9546658530265888
zic008_aec7,20260926,4,70,0.6255018182049985,0.5538657335358227,0.6825533524403947,0.9278634984997828,0.8705814505729904,0.9588578770206114
zic008_aec7,20260926,5,56,0.6554098259770178,0.6117672158900066,0.6993580421095503,0.9392763845179873,0.9000913009718691,0.9552755394982868
zic008_aec7,20260926,6,28,0.6772147688847826,0.6547064441115292,0.7116207381635437,0.9481240814377028,0.9350571200315051,0.9610082107123112
zic008_aec7,20260926,7,8,0.6930747375748292,0.6784657692548077,0.7177587655578976,0.9539455562738254,0.9475254556834352,0.961211398042245
zic008_aec7,20260926,8,1,0.7041185168631559,0.7041185168631559,0.7041185168631559,0.9576464055412542,0.9576464055412542,0.9576464055412542
