target_gene,n_compounds_hit,hub_frac,hub_flag
AKT2,286,0.0017545904626351985,specific
AKT3,651,0.0039938405285857145,frequent
AKTIP,181,0.0011104226354439544,specific
ALAD,198,0.0012147164741320605,specific
ALAS1,795,0.004877270691590849,frequent
ALAS2,295,0.0018098048478230194,specific
ALB,134,0.0008220808461297783,specific
ALCAM,322,0.0019754480033864824,specific
ALDH16A1,328,0.0020122575935116963,specific
ALDH18A1,202,0.0012392562008822032,specific
ALDH1A1,143,0.0008772952313175992,specific
ALDH1A2,205,0.0012576609959448102,specific
ALDH1A3,270,0.001656431555634628,specific
ALDH1B1,563,0.003453966540082576,frequent
ALDH1L1,89,0.0005460089201906737,specific
ALDH1L2,264,0.001619621965509414,specific
ALDH2,229,0.001404899356445666,specific
ALDH3A1,307,0.0018834240280734475,specific
ALDH3A2,309,0.0018956938914485187,specific
ALDH3B1,110,0.0006748424856289225,specific
ALDH3B2,117,0.0007177870074416722,specific
ALDH4A1,199,0.0012208514058195963,specific
ALDH5A1,271,0.0016625664873221636,specific
ALDH6A1,426,0.002613480898890191,specific
ALDH7A1,361,0.002214710339200373,specific
ALDH8A1,266,0.0016318918288844855,specific
ALDH9A1,574,0.0035214507886454686,frequent
ALDOA,227,0.0013926294930705946,specific
ALDOB,153,0.0009386445481929559,specific
ALDOC,548,0.003361942564769541,frequent
ALG1,231,0.0014171692198207374,specific
ALG10,500,0.0030674658437678296,frequent
ALG10B,570,0.003496911061895326,frequent
ALG11,505,0.0030981405022055077,frequent
ALG12,553,0.0033926172232072197,frequent
ALG13,235,0.00144170894657088,specific
ALG14,206,0.0012637959276323458,specific
ALG1L,1204,0.007386457751792933,frequent
ALG2,693,0.004251507659462212,frequent
ALG3,137,0.0008404856411923853,specific
ALG5,522,0.003202434340893614,frequent
ALG6,418,0.0025644014453899055,specific
ALG8,318,0.0019509082766363396,specific
ALG9,501,0.0030736007754553654,frequent
ALK,239,0.0014662486733210225,specific
ALKAL1,137,0.0008404856411923853,specific
ALKAL2,397,0.0024355678799516567,specific
ALKBH1,647,0.003969300801835571,frequent
ALKBH2,505,0.0030981405022055077,frequent
ALKBH3,375,0.002300599382825872,specific
ALKBH4,456,0.002797528849516261,specific
ALKBH5,644,0.003950896006772965,frequent
ALKBH6,295,0.0018098048478230194,specific
ALKBH7,279,0.001711645940822449,specific
ALKBH8,401,0.0024601076067017995,specific
ALLC,199,0.0012208514058195963,specific
ALMS1,408,0.002503052128514549,specific
ALOX12,527,0.0032331089993312924,frequent
ALOX12B,372,0.002282194587763265,specific
ALOX15,210,0.0012883356543824883,specific
ALOX15B,194,0.001190176747381918,specific
ALOX5,626,0.003840467236397323,frequent
ALOX5AP,268,0.0016441616922595566,specific
ALOXE3,258,0.0015828123753842001,specific
ALPG,186,0.0011410972938816326,specific
ALPI,67,0.00041104042306488916,specific
ALPK1,358,0.002196305544137766,specific
ALPK2,75,0.00046011987656517444,specific
ALPK3,428,0.0026257507622652622,specific
ALPL,544,0.003337402838019399,frequent
ALPP,43,0.0002638020625640334,specific
ALS2,1151,0.007061306372353544,frequent
ALS2CL,339,0.0020797418420745884,specific
ALX1,316,0.0019386384132612684,specific
ALX3,705,0.00432512683971264,frequent
ALX4,412,0.0025275918552646916,specific
ALYREF,659,0.004042919982085999,frequent
AMACR,362,0.002220845270887909,specific
AMBN,68,0.00041717535475242485,specific
AMBP,385,0.002361948699701229,specific
AMBRA1,1102,0.006760694719664296,frequent
AMD1,562,0.0034478316083950407,frequent
AMDHD1,399,0.002447837743326728,specific
AMDHD2,141,0.000865025367942528,specific
AMELX,292,0.0017914000527604124,specific
AMELY,388,0.002380353494763836,specific
AMER1,1224,0.007509156385543647,frequent
AMER2,273,0.001674836350697235,specific
AMER3,442,0.0027116398058907613,specific
AMFR,231,0.0014171692198207374,specific
AMH,81,0.0004969294666903884,specific
AMHR2,204,0.0012515260642572744,specific
AMIGO1,353,0.002165630885700088,specific
AMIGO2,295,0.0018098048478230194,specific
AMIGO3,292,0.0017914000527604124,specific
AMMECR1,683,0.004190158342586855,frequent
AMMECR1L,225,0.0013803596296955234,specific
AMN,288,0.0017668603260102699,specific
AMN1,379,0.002325139109576015,specific
AMOT,583,0.0035766651738332895,frequent
AMOTL1,368,0.0022576548610131228,specific
AMOTL2,196,0.0012024466107569893,specific
AMPD1,255,0.0015644075803215932,specific
AMPD2,233,0.0014294390831958085,specific
AMPD3,626,0.003840467236397323,frequent
AMPH,84,0.0005153342617529954,specific
AMT,632,0.003877276826522537,frequent
AMTN,227,0.0013926294930705946,specific
AMY1B,38,0.00023312740412635504,specific
AMY2A,201,0.0012331212691946674,specific
AMY2B,146,0.0008957000263802062,specific
AMZ1,410,0.0025153219918896204,specific
AMZ2,258,0.0015828123753842001,specific
ANAPC1,258,0.0015828123753842001,specific
ANAPC10,428,0.0026257507622652622,specific
ANAPC11,470,0.00288341789314176,specific
ANAPC13,467,0.002865013098079153,specific
ANAPC15,231,0.0014171692198207374,specific
ANAPC16,263,0.0016134870338218785,specific
ANAPC2,147,0.0009018349580677419,specific
ANAPC4,737,0.0045214446537137805,frequent
ANAPC5,224,0.0013742246980079876,specific
ANAPC7,372,0.002282194587763265,specific
