context,library,marker,program,n_test,r_raw,z_raw,tail_raw,r_partial,z_partial,tail_partial,marker_rel_sb,r_ceiling,r_chem_pred,z_chem_pred,r_img_pred,z_img_pred,fw_flag
zel024_hek293,zel024,phalloidin,P05,7814,0.0298349339167813,2.555115992690699,0.0,0.0228688425376126,2.0326393246707504,0.025,0.5276,0.7263607918933951,0.09154129334018,8.243526139225315,0.1579032333621559,15.31935864882791,False
zel024_hek293,zel024,phalloidin,P06,7814,0.0108573522188792,0.8906649738182367,0.15,0.0080295944430813,0.7034180556011927,0.245,0.5276,0.7263607918933951,-0.0092012806430244,-0.7612366561005774,0.0799477336316586,6.637606034263023,False
zel024_hek293,zel024,phalloidin,P07,7814,-0.004561258757053,-0.4608458768018406,0.645,-0.0100316710317635,-0.8587129200996012,0.815,0.5276,0.7263607918933951,-0.0183616515138403,-1.780469198665654,-0.0385876291136674,-3.3251474410121635,False
zel024_hek293,zel024,phalloidin,P08,7814,0.0324000415699525,2.689826970022082,0.005,-0.0020563847849554,-0.0859991551602021,0.525,0.5276,0.7263607918933951,0.0626522669992128,6.10837998117801,0.1067546098897335,9.743519940525454,False
zel024_hek293,zel024,phalloidin,P09,7814,0.0222933419403401,1.8234764968520305,0.04,0.0037467222473914,0.1783178603929136,0.455,0.5276,0.7263607918933951,0.0282617840617505,2.779871165212987,0.0789957808387442,6.976256465160262,False
zel024_hek293,zel024,phalloidin,P10,7814,-0.0163235948358053,-1.5415724623832618,0.93,-0.0044558548325687,-0.3461605505473167,0.63,0.5276,0.7263607918933951,-0.0472562300188709,-4.352488635978436,-0.0010949329964718,-0.0689671692631404,False
zel024_hek293,zel024,phalloidin,P11,7814,-0.0521553291624032,-4.882102665754424,1.0,0.0175309543212327,1.5304899311105624,0.065,0.5276,0.7263607918933951,-0.0859309464874423,-7.850592136786698,-0.2854655613518062,-24.822071676718544,True
zel024_hek293,zel024,phalloidin,P12,7814,0.1292325188049579,11.621519066830864,0.0,0.0117735175752557,0.9145009409287472,0.215,0.5276,0.7263607918933951,0.1880012116714645,17.46034960130851,0.3809992019559636,34.23730051981958,True
zel024_hek293,zel024,phalloidin,P13,7814,-0.0703876631842219,-6.515938124052348,1.0,0.0055066286324223,0.6089832217993416,0.28,0.5276,0.7263607918933951,-0.0839452949439565,-7.390949476408471,-0.2258042347462097,-21.13482016035761,True
zel024_hek293,zel024,phalloidin,P14,7814,0.0567990174604311,4.838279905431094,0.0,0.0205324356525679,1.752058386200965,0.03,0.5276,0.7263607918933951,0.0830751279582591,7.404342293689579,0.2267699621873261,19.33626751888094,True
zel024_hek293,zel024,phalloidin,P15,7814,0.1321407006624303,11.79616320216896,0.0,0.015528871827375,1.2993748699853107,0.105,0.5276,0.7263607918933951,0.1613842180139636,15.014215106694136,0.3850188881431668,36.23399427854832,True
zel024_hek293,zel024,phalloidin,P16,7814,0.1278290733565385,11.301841643969746,0.0,0.0228662765327828,2.003582440115687,0.02,0.5276,0.7263607918933951,0.1610900691002074,14.932632115369184,0.3791606510775743,36.15788009428378,True
zel024_hek293,zel024,phalloidin,P17,7814,-0.1225312231887379,-10.451877697703011,1.0,-0.03355429668496,-2.9691230603597254,1.0,0.5276,0.7263607918933951,-0.1594688900681083,-14.996176538531875,-0.38364939053175,-35.33008647078527,True
